Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","0.1uF","C_1206_3216Metric",165.354000,-125.558000,-90.000000,top
"C2","1nF","C_1206_3216Metric",155.631800,-96.093500,-90.000000,top
"C3","100nF","C_1206_3216Metric",158.131600,-96.093500,-90.000000,top
"C4","0.1uF","C_1206_3216Metric",185.674000,-125.427000,-90.000000,top
"C5","1nF","C_1206_3216Metric",175.621600,-96.342000,-90.000000,top
"C6","100nF","C_1206_3216Metric",178.045200,-96.342000,-90.000000,top
"C7","0.1uF","C_1206_3216Metric",206.248000,-125.697000,-90.000000,top
"C8","1nF","C_1206_3216Metric",196.342000,-96.594000,-90.000000,top
"C9","470uF/25 VDC","CAPAE1030X1050N",205.994000,-61.087000,0.000000,top
"C10","100nF","C_1206_3216Metric",198.882000,-96.594000,-90.000000,top
"C11","2.2uF/100V","C_1206_3216Metric",195.580000,-62.914000,90.000000,top
"C12","2.2uF/100V","C_1206_3216Metric",193.040000,-62.914000,90.000000,top
"C13","0.1uF","C_1206_3216Metric",193.548000,-56.437000,90.000000,top
"C14","0.1uF","C_1206_3216Metric",180.135000,-67.310000,0.000000,top
"C15","4.7uF","C_1206_3216Metric",179.959000,-55.958000,-90.000000,top
"C16","100uF/10V","100uF_wuerth",173.228000,-54.317000,-90.000000,top
"C17","10 nF","C_1206_3216Metric",214.454000,-90.678000,0.000000,top
"C18","100uF","100uF_wuerth",206.950000,-73.914000,0.000000,top
"C19","68 uF","68uFcap",218.400000,-74.168000,180.000000,top
"D1","24V","LED_0805_2012Metric",224.957000,-56.515000,180.000000,top
"D2","1A/100V","D_SOD-323",188.468000,-55.372000,180.000000,top
"D3","D_Schottky","schottydiode50V",207.264000,-84.958000,90.000000,top
"IC1","MP9486AGN-Z","SOIC127P600X170-9N",188.468000,-61.722000,90.000000,top
"IC2","INA240A4DR","SOIC127P600X175-8N",160.528000,-125.607000,90.000000,top
"IC3","BTN8982TAAUMA1","PG-TO263-7-1",155.194000,-115.572000,180.000000,top
"IC4","INA240A4DR","SOIC127P600X175-8N",181.102000,-125.730000,90.000000,top
"IC5","BTN8982TAAUMA1","PG-TO263-7-1",175.768000,-115.826000,180.000000,top
"IC6","INA240A4DR","SOIC127P600X175-8N",201.676000,-125.648000,90.000000,top
"IC7","BTN8982TAAUMA1","PG-TO263-7-1",196.342000,-115.826000,180.000000,top
"IC8","LM2675N-3.3_NOPB","LM2675N",214.376000,-83.820000,180.000000,top
"J1","FX10A-80S_8-SV_71_","FX10A80S8SV71",154.178000,-70.104000,-90.000000,top
"J2","43045-0812","43045-08YY_121314",211.667250,-142.192000,0.000000,top
"J3","Screw_Terminal_01x04","screwconnector_4_wuerth",242.570000,-142.240000,90.000000,top
"J4","Screw_Terminal_01x04","screwconnector_4_wuerth",163.830000,-154.178000,0.000000,top
"J5","Screw_Terminal_01x04","screwconnector_4_wuerth",233.172000,-47.117000,180.000000,top
"J8","Screw_Terminal_01x04","screwconnector_4_wuerth",231.648000,-142.240000,90.000000,top
"L1","33uH","33uH_wuerth_7447706330",184.912000,-47.498000,90.000000,top
"L2","47uH","C_0805_2012Metric",214.564000,-93.726000,0.000000,top
"R1","2K","R_1206_3216Metric",219.964000,-56.515000,0.000000,top
"R2","1K","R_1206_3216Metric",153.162000,-96.073500,-90.000000,top
"R3","0K51","R_1206_3216Metric",160.601400,-96.073500,-90.000000,top
"R4","10K","R_1206_3216Metric",163.041200,-96.073500,-90.000000,top
"R5","10K","R_1206_3216Metric",165.481000,-96.073500,-90.000000,top
"R6","0.001","R_1206_3216Metric",156.210000,-125.668500,90.000000,top
"R7","1K","R_1206_3216Metric",173.228000,-96.322000,-90.000000,top
"R8","0K51","R_1206_3216Metric",180.438800,-96.329500,-90.000000,top
"R9","10K","R_1206_3216Metric",182.802400,-96.322000,-90.000000,top
"R10","10K","R_1206_3216Metric",185.928000,-96.322000,-90.000000,top
"R11","0.001","R_1206_3216Metric",176.784000,-125.668500,90.000000,top
"R12","1K","R_1206_3216Metric",193.802000,-96.581500,-90.000000,top
"R13","0K51","R_1206_3216Metric",201.422000,-96.581500,-90.000000,top
"R14","10K","R_1206_3216Metric",203.962000,-96.581500,-90.000000,top
"R15","10K","R_1206_3216Metric",206.502000,-96.581500,-90.000000,top
"R16","0.001","R_1206_3216Metric",197.485000,-125.586500,90.000000,top
"R17","240K","C_1206_3216Metric",180.135000,-64.699000,0.000000,top
"R18","10K","C_1206_3216Metric",184.150000,-63.041000,90.000000,top
"R19","1k","R_1206_3216Metric",210.058000,-124.775500,90.000000,top
"R20","1k5","R_1206_3216Metric",212.598000,-124.775500,-90.000000,top
"R21","1k","R_1206_3216Metric",231.709500,-100.584000,180.000000,top
"R22","1k5","R_1206_3216Metric",231.709500,-98.044000,0.000000,top
"R23","1k","R_1206_3216Metric",216.154000,-124.775500,90.000000,top
"R24","1k5","R_1206_3216Metric",218.694000,-124.775500,-90.000000,top
"R25","1k","R_1206_3216Metric",231.709500,-104.140000,180.000000,top
"R26","1k5","R_1206_3216Metric",231.709500,-106.680000,0.000000,top
"R27","1k","R_1206_3216Metric",222.250000,-124.775500,90.000000,top
"R28","1k5","R_1206_3216Metric",224.790000,-124.775500,-90.000000,top
"U1","5V","LED_0805_2012Metric",224.957000,-61.722000,0.000000,top
"U2","1k","R_1206_3216Metric",219.964000,-61.722000,180.000000,top
"U14","3V3","LED_0805_2012Metric",224.957000,-66.929000,0.000000,top
"U15","1k","R_1206_3216Metric",219.964000,-66.929000,180.000000,top
